   indexX       indexY         intexZ      phi   
+9      +33     +32     -9.38768e-18     +16.2863
+9      +34     +32     +1.27851e-17     +16.1852
+9      +35     +32     +1.05267e-17     +16.0188
+9      +36     +32     +1.01169e-18     +15.7897
+9      +37     +32     +1.12157e-17     +15.5016
+9      +38     +32     -5.10692e-18     +15.1591
+9      +39     +32     +5.14299e-18     +14.7670
+9      +40     +32     -3.94885e-18     +14.3309
+9      +41     +32     +5.46304e-18     +13.8562
+9      +42     +32     -6.94013e-18     +13.3485
+9      +43     +32     +3.38090e-18     +12.8132
+9      +44     +32     -7.25760e-18     +12.2555
+9      +45     +32     +2.51352e-18     +11.6800
+9      +46     +32     +5.20535e-18     +11.0911
+9      +47     +32     -4.87937e-18     +10.4926
+9      +48     +32     +3.60716e-18     +9.88796
+9      +49     +32     +5.26823e-18     +9.28000
+9      +50     +32     +1.40519e-18     +8.67113
+9      +51     +32     -6.33559e-18     +8.06331
+9      +52     +32     +1.25289e-18     +7.45807
+9      +53     +32     +5.26359e-18     +6.85660
+9      +54     +32     -8.91855e-18     +6.25972
+9      +55     +32     +2.74750e-18     +5.66796
+9      +56     +32     -4.92318e-19     +5.08158
+9      +57     +32     -8.11082e-18     +4.50062
+9      +58     +32     +2.74357e-18     +3.92491
+9      +59     +32     -2.87261e-18     +3.35413
+9      +60     +32     -1.64755e-18     +2.78781
+9      +61     +32     -1.68407e-18     +2.22536
+9      +62     +32     -1.54383e-18     +1.66613
+9      +63     +32     -4.25493e-18     +1.10936
+10      +1     +32     -2.48713e-18     +1.22187
+10      +2     +32     -7.56973e-18     +1.83536
+10      +3     +32     -3.50286e-18     +2.45187
+10      +4     +32     +9.52039e-19     +3.07231
+10      +5     +32     -1.15903e-18     +3.69754
+10      +6     +32     +2.04684e-18     +4.32831
+10      +7     +32     -3.65470e-18     +4.96526
+10      +8     +32     -3.99150e-18     +5.60888
+10      +9     +32     -3.58100e-18     +6.25947
+10      +10     +32     +5.56097e-19     +6.91712
+10      +11     +32     -4.62143e-18     +7.58168
