   posx(m)        px/pz(rad)         posy(m)       py/pz(rad)         posz(m)           pz/pz(rad)   
+9.3941183e-05       -0.021067755       +0.00083424883       +0.0013816164       +0.00045091771       -0.0023092764       
-1.6923519e-05       +0.011211950       -0.00043255386       -0.018969774       -0.0017286350       +0.0016104527       
+0.0010283348       -0.026640140       +0.00016569297       +0.026260934       -0.00067442167       +0.00097375564       
+0.00082505448       -0.024513440       +0.0014311765       -0.017522355       -0.0028889583       -0.0016079779       
-0.00055235809       +0.036211958       -0.0020879776       +0.057676980       -0.00072331555       +0.0016794561       
-0.00099884328       +0.050036854       -0.00090093086       +0.0048610503       -0.0026702657       -0.00070657368       
+0.0014177662       -0.063892708       +0.0014736046       -0.056768199       -0.0037644869       -0.0020824227       
+0.0010712683       -0.049642094       -0.0011306398       +0.058410123       +0.0022419639       +0.0024501205       
+0.00066169037       -0.012692980       -0.0021847217       +0.084441068       -0.0019686091       +0.0018771488       
-0.00060243783       +0.032696599       -0.0023348659       +0.078540775       -0.0015381795       +0.0019957866       
+0.0013994304       -0.036978860       +0.00025293070       +0.020647518       +0.00034698609       +0.0014685963       
+0.00090685191       -0.031230136       -0.0024928064       +0.080963565       -0.0037585675       +0.00042226318       
+0.00040383085       -0.033888920       -0.0019801410       +0.054020867       +0.0011757354       -0.00096253540       
-0.00038271137       -0.00098942013       -0.0022398575       +0.057172082       +0.00074392345       +0.00012150952       
-0.00011600921       +0.0056913835       +0.0018699049       -0.083077950       +0.0014511373       +0.0019519556       
+0.0015680360       -0.060901305       +0.00037032592       +0.013389953       -0.0036927361       -0.0012435314       
-0.00094526819       +0.057722033       +0.0010448554       -0.024086901       +0.0032435599       -0.0010813614       
+0.0022980276       -0.084216143       +0.00093134496       -0.032801927       -0.0032290272       -0.00080285003       
+0.00085752155       -0.049375836       +0.0016521567       -0.041206452       +0.0036215670       -0.0015415514       
-0.00067426683       +0.013654089       -0.0020749590       +0.083445052       +0.00013505511       -0.00058543478       
